03-15-2025,50,82,16,0
03-16-2025,40,49,16,0
03-17-2025,44,79,19,0
03-18-2025,63,86,9,0
03-19-2025,33,94,13,0
03-20-2025,37,69,16,16
03-21-2025,46,72,10,0
03-22-2025,41,49,14,25
03-23-2025,38,51,17,0
03-24-2025,55,48,18,0
03-25-2025,48,41,10,0
03-26-2025,45,62,11,0
03-27-2025,44,30,17,0
03-28-2025,50,76,28,0
03-29-2025,43,68,21,0
03-30-2025,48,59,20,0
03-31-2025,44,54,6,0
04-01-2025,51,50,12,0
04-02-2025,65,57,25,0
04-03-2025,57,60,22,0
04-04-2025,58,56,13,0
04-05-2025,57,62,15,0
04-06-2025,61,65,9,0
04-07-2025,61,74,20,0
04-08-2025,52,63,23,0
04-09-2025,58,60,24,12
04-10-2025,49,75,14,0
04-11-2025,57,75,22,0
04-12-2025,60,63,5,0
04-13-2025,60,70,11,0
04-14-2025,50,52,16,0
04-15-2025,65,61,7,0
04-16-2025,52,53,8,0
04-17-2025,40,67,16,0
04-18-2025,61,58,25,0
04-19-2025,63,45,17,0
04-20-2025,60,100,22,0
04-21-2025,58,75,5,0
04-22-2025,54,97,11,10
04-23-2025,42,64,11,0
04-24-2025,50,61,26,0
04-25-2025,52,32,30,17
04-26-2025,55,46,13,30
04-27-2025,52,77,15,27
04-28-2025,57,52,14,0
04-29-2025,52,46,25,0
04-30-2025,59,90,15,0
05-01-2025,71,63,5,0
05-02-2025,71,37,21,0
05-03-2025,68,63,16,0
05-04-2025,66,80,15,0
05-05-2025,77,70,17,0
05-06-2025,66,64,14,0
05-07-2025,65,69,19,16
05-08-2025,67,78,21,0
05-09-2025,78,52,8,0
05-10-2025,78,46,6,0
05-11-2025,77,80,16,15
05-12-2025,72,83,10,0
05-13-2025,74,63,12,0
05-14-2025,65,55,14,0
05-15-2025,81,73,22,0
05-16-2025,70,84,15,0
05-17-2025,67,64,16,0
05-18-2025,61,51,21,0
05-19-2025,65,56,8,0
05-20-2025,61,52,17,0
05-21-2025,64,60,19,0
05-22-2025,69,44,28,14
05-23-2025,64,75,25,13
05-24-2025,81,91,30,0
05-25-2025,66,66,11,0
05-26-2025,70,73,14,0
05-27-2025,61,68,7,0
05-28-2025,68,36,19,0
05-29-2025,74,42,20,0
05-30-2025,62,39,19,0
05-31-2025,60,46,11,0
06-01-2025,81,52,20,6
06-02-2025,75,36,22,0
06-03-2025,87,54,23,1
06-04-2025,72,96,10,0
06-05-2025,81,62,10,0
06-06-2025,79,57,15,0
06-07-2025,70,59,8,0
06-08-2025,81,68,24,0
06-09-2025,89,71,19,0
06-10-2025,83,65,13,0
06-11-2025,82,78,5,0
06-12-2025,97,39,6,0
06-13-2025,72,60,25,0
06-14-2025,86,57,15,0
06-15-2025,74,60,12,43
06-16-2025,90,60,26,0
06-17-2025,64,43,14,0
06-18-2025,78,87,17,0
06-19-2025,77,70,31,0
06-20-2025,71,53,7,0
06-21-2025,64,56,14,22
06-22-2025,84,50,6,0
06-23-2025,82,51,16,0
06-24-2025,83,75,11,45
06-25-2025,89,38,28,0
06-26-2025,79,30,25,0
06-27-2025,77,76,22,0
06-28-2025,83,61,21,30
06-29-2025,77,64,12,25
06-30-2025,91,70,20,19
07-01-2025,86,77,7,0
07-02-2025,76,66,22,0
07-03-2025,91,59,15,0
07-04-2025,69,73,18,0
07-05-2025,78,76,14,0
07-06-2025,88,82,24,0
07-07-2025,87,60,19,0
07-08-2025,85,47,22,24
07-09-2025,84,68,29,0
07-10-2025,80,77,6,0
07-11-2025,80,76,21,0
07-12-2025,72,78,22,0
07-13-2025,79,80,22,0
07-14-2025,93,72,12,0
07-15-2025,98,42,16,0
07-16-2025,96,55,8,0
07-17-2025,88,53,12,0
07-18-2025,77,45,19,0
07-19-2025,95,83,19,0
07-20-2025,72,34,21,3
07-21-2025,77,56,21,0
07-22-2025,80,71,11,0
07-23-2025,84,74,19,0
07-24-2025,97,67,14,30
07-25-2025,73,76,7,0
07-26-2025,91,66,5,16
07-27-2025,88,76,18,0
07-28-2025,93,53,20,0
07-29-2025,79,52,23,7
07-30-2025,82,65,25,0
07-31-2025,90,44,20,0
08-01-2025,86,67,22,0
08-02-2025,87,85,14,0
08-03-2025,81,58,18,0
08-04-2025,72,90,25,0
08-05-2025,89,78,14,0
08-06-2025,71,63,25,37
08-07-2025,83,53,25,0
08-08-2025,80,76,14,17
08-09-2025,85,69,16,0
08-10-2025,75,39,27,0
08-11-2025,98,65,9,0
08-12-2025,81,52,30,31
08-13-2025,88,42,23,0
08-14-2025,92,44,22,0
08-15-2025,95,73,18,24
08-16-2025,78,62,5,12
08-17-2025,80,56,12,0
08-18-2025,82,39,9,0
08-19-2025,86,61,26,0
08-20-2025,93,64,10,0
08-21-2025,90,72,17,0
08-22-2025,90,40,24,0
08-23-2025,91,63,20,14
08-24-2025,79,46,9,0
08-25-2025,85,69,23,0
08-26-2025,81,70,31,0
08-27-2025,89,67,21,0
08-28-2025,82,100,18,0
08-29-2025,88,66,14,0
08-30-2025,75,55,21,0
08-31-2025,96,61,16,0
09-01-2025,77,39,18,0
09-02-2025,65,71,11,0
09-03-2025,75,80,20,0
09-04-2025,69,43,17,0
09-05-2025,76,51,25,0
09-06-2025,65,52,13,0
09-07-2025,81,66,14,0
09-08-2025,74,32,15,0
09-09-2025,72,73,10,0
09-10-2025,82,78,20,0
09-11-2025,77,67,19,16
09-12-2025,80,60,12,0
09-13-2025,75,79,6,0
09-14-2025,70,63,13,0
09-15-2025,70,62,26,0
09-16-2025,74,67,16,0
09-17-2025,80,63,12,0
09-18-2025,73,57,5,1
09-19-2025,69,56,13,0
09-20-2025,72,50,20,0
09-21-2025,78,86,11,35
09-22-2025,82,71,27,22
09-23-2025,83,56,11,0
09-24-2025,78,63,25,0
09-25-2025,76,61,15,0
09-26-2025,74,41,25,0
09-27-2025,83,61,16,0
09-28-2025,70,55,30,20
09-29-2025,72,87,10,0
09-30-2025,73,79,31,0
10-01-2025,64,60,16,0
10-02-2025,61,60,21,0
10-03-2025,49,62,27,0
10-04-2025,59,64,23,0
10-05-2025,64,75,21,6
10-06-2025,68,62,23,42
10-07-2025,54,56,5,0
10-08-2025,52,77,16,0
10-09-2025,61,84,21,17
10-10-2025,71,60,19,4
10-11-2025,59,79,5,0
10-12-2025,62,74,21,0
10-13-2025,60,100,28,0
10-14-2025,62,61,5,39
10-15-2025,51,54,13,0
10-16-2025,75,69,25,0
10-17-2025,62,73,9,0
10-18-2025,71,43,15,6
10-19-2025,49,44,35,0
10-20-2025,60,86,13,0
10-21-2025,58,97,17,0
10-22-2025,58,80,13,22
10-23-2025,59,54,15,0
10-24-2025,59,41,19,0
10-25-2025,61,60,14,0
10-26-2025,56,87,22,0
10-27-2025,53,88,20,0
10-28-2025,47,69,12,0
10-29-2025,59,35,20,0
10-30-2025,56,57,12,26
10-31-2025,63,64,11,0
11-01-2025,31,80,23,0
11-02-2025,55,73,13,0
11-03-2025,48,83,11,0
11-04-2025,48,73,24,39
11-05-2025,51,100,20,35
11-06-2025,50,59,23,20
